GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G4803350","Texas","480","Mitchell County","3350",,,,,,,79,1117,1528,4630,3957,7308,6370,7352,5552,4415,4351,3823,5958,5746,,,,,,,38,942,1327,4326,3570,6875,6107,7005,5703,4658,4737,4193,3740,3657
"G4803370","Texas","480","Montague County","3370",,,,,439,487,6076,9874,12706,13009,11249,9721,10419,8528,7226,7307,8288,8281,9185,9665,,,,,410,403,5181,8989,12094,12114,10951,9438,10023,8542,7667,8019,9122,8993,9932,10054
"G4803390","Texas","480","Montgomery County","3390",,,,1272,2883,3338,5248,6090,8849,7999,8977,7510,11786,12351,13366,24757,64248,90544,145713,225911,,,,1112,2596,3145,4906,5675,8218,7680,8357,7078,11269,12153,13473,24722,64239,91657,148055,229835
"G4803410","Texas","480","Moore County","3410",,,,,,,0,11,131,322,322,932,2312,6954,7486,7049,8277,8941,10091,11317,,,,,,,0,4,78,239,249,623,2149,6395,7287,7011,8298,8924,10030,10587
"G4803430","Texas","480","Morris County","3430",,,,,,,2626,3401,4162,5314,5158,5059,4943,4681,6218,5953,7050,6363,6277,6239,,,,,,,2406,3179,4058,5125,5131,4969,4867,4752,6358,6357,7579,6837,6771,6695
"G4803450","Texas","480","Motley County","3450",,,,,,,18,105,717,1294,2228,3594,2597,2077,1458,1069,940,741,719,613,,,,,,,6,34,540,1102,1879,3218,2397,1886,1412,1109,1010,791,707,597
"G4803470","Texas","480","Nacogdoches County","3470",,,,2733,4415,4806,5960,8154,12831,14059,14424,15236,17732,15072,13712,17602,22524,26507,28522,30800,,,,2460,3877,4808,5630,7830,11832,13347,14033,15054,17660,15254,14334,18760,24262,28246,30681,33724
"G4803490","Texas","480","Navarro County","3490",,,,1237,3184,4623,11544,13935,22797,24267,25738,30782,25554,19381,16498,14669,16734,19193,22213,23657,,,,953,2812,4256,10158,12438,20577,22803,24886,29725,25754,20535,17925,16481,18589,20733,22911,24078
"G4803495","Texas","480","Navarro-Ellis-Tarrant [multi-county reporting area]","3495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G4803510","Texas","480","Newton County","3510",,,,879,1605,1101,2223,2359,3805,5877,6487,6362,6868,5494,5220,5755,6430,6615,7688,7445,,,,810,1514,1086,2136,2291,3477,4973,5709,6162,6832,5338,5152,5902,6824,6954,7384,7000
